ScreenName	ScreenID	PlateName	PlateID	MeasurementDate	MeasurementID	WellName	Row	Column	Field	Plane	Timepoint	Object Number	X	Y	Bounding Box	Podocytes - Podocytes Selected	Podocytes - Intensity Cell HCScellmaskOrange Median	Podocytes - Intensity Cell HCScellmaskOrange Mean	Podocytes - Intensity CellPeriph Phalloidin647 Median	Podocytes - Intensity CellPeriph Phalloidin647 Mean	Podocytes - Intensity CellCenter Phalloidin647 Median	Podocytes - Intensity CellCenter Phalloidin647 Mean	Podocytes - Cell Roundness	Podocytes - Cell Area [µm²]	Podocytes - CellMorph Radial Relative Deviation	Podocytes - CellMorph Radial Mean	Podocytes - CellMorph Axial Length Ratio	Podocytes - CellMorph Axial Small Length	Podocytes - CellMorph Threshold Compactness 60%	Podocytes - CellMorph Threshold Compactness 50%	Podocytes - CellMorph Threshold Compactness 40%	Podocytes - CellMorph Threshold Compactness 30%	Podocytes - CellMorph Symmetry 15	Podocytes - CellMorph Symmetry 14	Podocytes - CellMorph Symmetry 13	Podocytes - CellMorph Symmetry 12	Podocytes - CellMorph Symmetry 05	Podocytes - CellMorph Symmetry 04	Podocytes - CellMorph Symmetry 03	Podocytes - CellMorph Symmetry 02	Podocytes - CellPeriphPhalloidin SER Bright 1 px	Podocytes - CellPeriphPhalloidin SER Ridge 1 px	Podocytes - CellPeriphPhalloidin SER Edge 1 px	Podocytes - CellCenterPhalloidin SER Bright 1 px	Podocytes - CellCenterPhalloidin SER Ridge 1 px	Podocytes - CellCenterPhalloidin SER Edge 1 px	Podocytes - Number of Spots per Area of CellPeriph	Podocytes - Number of Spots (2)	Podocytes - Relative Spot Intensity (2)	Podocytes - Total Spot Area (2)	Podocytes - Number of Spots per Area of CellCenter	Podocytes - Number of Spots	Podocytes - Relative Spot Intensity	Podocytes - Total Spot Area	ay	ax
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	1	349	188	[243,156,420,243]	0	4054	5354.5	2993	3308.29	3599	3793.85	0.498431	2608.89	0.605632	33.7622	0.344313	18.1728	0.736579	0.788057	0.521474	0.529467	0.161585	0.427451	0.147695	0.705722	0.126025	0.292337	0.162195	0.549724	0.0302756	0.0259693	0.124622	0.0216165	0.0185621	0.0782925	0.0216038	118	0.762458	2332	0.0252294	55	0.53499	1069	525.58	-443.04
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	2	448	343	[372,258,528,549]	1	2534	3089.03	1848	2712.62	1508	2517.83	0.451018	6718.47	0.532901	63.2042	0.303625	29.4259	0.676714	0.708982	0.494118	0.333906	0.180707	0.513481	0.130251	0.742159	0.159681	0.361842	0.0945025	0.593409	0.0414441	0.035282	0.15665	0.0287461	0.026005	0.136425	0.0196919	317	0.730021	5326	0.0219083	76	0.66414	1193	405.12	-367.7
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	3	48	467	[23,377,77,594]	0	2351	3946.9	1147	1485.9	1152	1287.94	0.419343	1986.48	0.592644	44.1968	0.153501	11.0236	0.524058	0.477716	0.452991	0.432692	0.138273	0.784169	0.0789018	0.905159	0.0832958	0.610148	0.121323	0.784057	0.0458683	0.0390736	0.147843	0.0306996	0.0243199	0.084474	0.0182413	78	0.787888	1255	0.0190664	29	0.518679	603	350.66	-615.68
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	4	50	1004	[30,965,73,1044]	0	4508	5083.35	3098	4079.12	3409	3866.63	0.651446	583.567	0.558154	15.4541	0.45829	10.4278	0.769699	0.748668	0.599908	0.615933	0.189146	0.421394	0.21598	0.528017	0.122272	0.270327	0.174101	0.369058	0.0643777	0.0555059	0.211664	0.042832	0.0358977	0.1114	0.0158395	15	0.58412	496	0.015748	12	0.355887	455	49.03	-611.98
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	5	808	1044	[683,1007,839,1078]	0	1059	1432.82	914	1004.18	1082	1130.52	0.557066	1805.49	0.616015	27.3208	0.353843	15.1377	0.932483	0.914668	0.762413	0.645958	0.134644	0.379333	0.0435718	0.659493	0.0974474	0.249847	0.0729045	0.473206	0.0323792	0.0259973	0.110654	0.025087	0.0191834	0.0826723	0.00357599	14	0.463165	195	0.000733676	1	0.410008	6	20.13	-183.05
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	6	797	37	[684,1,875,78]	0	1728	3015.27	947	1181.26	948	1176.84	0.503312	2936.21	0.663665	29.1531	0.524971	23	0.929587	0.939001	0.863495	0.761153	0.222028	0.15039	0.100772	0.406293	0.11119	0.0570929	0.0156614	0.22391	0.0401607	0.0327154	0.11519	0.039483	0.0320129	0.11872	0.0203811	123	0.715318	1933	0.0210444	54	0.518261	970	622.83	-168.38
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	7	926	41	[864,1,969,97]	0	2213	3797.62	761	1035.6	868	985.245	0.75027	2533.99	0.556153	23.5356	0.886651	25.2671	1.05607	1.03822	0.984522	0.982973	0.0644042	0.105048	0.142372	0.0735361	0.0269604	0.0567304	0.0808726	0.0424333	0.0309519	0.0248231	0.0996293	0.0298582	0.0238429	0.0949886	0.0144008	59	0.71543	725	0.0176172	59	0.586767	1150	617.43	-97.95
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	8	363	78	[304,1,427,135]	0	2661	3979.08	1974	2266.18	2239	2284.18	0.410145	3110.28	0.636094	30.0971	0.705232	29.0729	0.962546	0.774074	0.573064	0.578641	0.0896291	0.193283	0.0833685	0.234268	0.0507323	0.106973	0.0720778	0.149382	0.0339712	0.0278338	0.113769	0.0226113	0.0177932	0.0815821	0.0210493	132	0.771138	2194	0.0232722	66	0.644337	1250	600.44	-429.01
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	9	654	91	[605,1,719,174]	0	2082	3556.08	943	1095.89	1045	1197.69	0.59637	3529.14	0.684862	29.8402	0.450489	21.0085	0.932851	0.907151	0.887121	0.692295	0.113936	0.264475	0.0452851	0.513666	0.0556546	0.138387	0.0109768	0.322235	0.0404876	0.033157	0.113582	0.0349964	0.0313127	0.0910406	0.0202642	135	0.723493	1438	0.0180934	67	0.6033	1178	587.88	-254.85
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	10	1017	84	[943,1,1078,377]	1	1147	1879.24	1032	1335.64	1087	1165.97	0.562025	13015	0.627876	83.5819	0.309969	41.3229	0.79372	0.689977	0.555891	0.456455	0.132714	0.4065	0.116266	0.715557	0.0842197	0.248388	0.129832	0.556714	0.0288796	0.0235807	0.099732	0.0228646	0.0174123	0.0768878	0.0130881	397	0.664853	6546	0.0196487	151	0.54228	2191	533.29	-36.67
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	11	908	115	[856,56,992,193]	0	1647	2586.09	872	1048.38	828	916.508	0.512269	2705.63	0.665949	26.7311	0.551842	21.9445	0.910321	1.03949	1.0314	0.941167	0.0936489	0.181389	0.129675	0.358886	0.0423865	0.0738873	0.0796745	0.196927	0.0328164	0.0265333	0.103038	0.0216085	0.0158853	0.0713776	0.0183225	90	0.707595	1026	0.0198807	60	0.587763	836	570.99	-99.84
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	12	272	118	[209,53,347,177]	0	3553	4329.13	2799	3069.03	2856	3076.53	0.641942	3225.05	0.504201	30.5201	0.746257	28.9098	0.575357	0.839554	1.06099	0.597472	0.149205	0.0735687	0.135047	0.242475	0.0813423	0.0350064	0.0741827	0.186326	0.0295793	0.025516	0.114765	0.0306126	0.0273198	0.111575	0.0209931	115	0.81126	2089	0.0281266	112	0.584334	1500	570.31	-477.89
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	13	546	102	[439,1,649,245]	1	1615	2746.49	979	1248.51	1257	1415.69	0.43785	9925.14	0.651992	52.3516	0.599337	45.4355	0.774816	0.823955	0.665991	0.687421	0.117488	0.0956177	0.117572	0.38569	0.0550323	0.051562	0.0765472	0.249822	0.0350791	0.0267008	0.121272	0.0408833	0.0361929	0.117853	0.0179733	398	0.72406	4127	0.0209163	147	0.646286	2194	580.08	-313.18
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	14	719	122	[586,59,771,264]	0	1934	2970.27	948	1139.77	1078	1244.43	0.5373	4431.71	0.629934	43.4539	0.311612	21.6075	0.882776	0.94684	0.784546	0.73689	0.0860875	0.410284	0.0409437	0.760838	0.0644346	0.289325	0.098009	0.620456	0.0404072	0.0358378	0.108069	0.0359891	0.029408	0.10611	0.0247848	239	0.701547	2341	0.0202539	67	0.509867	966	541.31	-239.06
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	15	439	134	[333,29,531,195]	1	2182	3025.62	1530	1844.96	2274	2606.97	0.438791	5087.4	0.601476	42.1377	0.587482	35.2249	0.768247	0.905235	0.876891	0.790161	0.345048	0.121775	0.248301	0.435021	0.218335	0.11547	0.217697	0.364864	0.025172	0.0214756	0.0901505	0.0185533	0.0153688	0.0927774	0.0170752	186	0.790198	3491	0.0187359	75	0.652198	1898	564.2	-379.88
Screen_Run12	4406	MKP_170707_Run12_P1	12643	2017-07-12T00:03:54Z	12844	A1	1	1	1	1	1	16	751	184	[680,57,862,267]	1	1536	3060.4	846	1131.56	1258	1773.96	0.593467	5583.24	0.747927	36.744	0.405813	24.4006	0.80011	0.854931	0.821735	0.863969	0.0443317	0.20839	0.0236385	0.533021	0.0317017	0.0452058	0.0137997	0.291228	0.039757	0.0338029	0.113044	0.0438559	0.0319481	0.136933	0.0202224	231	0.768094	2534	0.021473	107	0.575018	1708	546.21	-187.84
